slug,name,category,website,tagline,what_is,ai4ntp_take,who_for,pricing_summary,free_tier,g2_score,g2_reviews,g2_as_of,g2_source,is_private,is_network,affiliate_url,alternatives,updated
claude-code,Claude Code,AI coding agents,https://www.anthropic.com/claude-code,Anthropic's agentic coding tool that writes and ships real software from your terminal.,"Claude Code is Anthropic's agentic coding tool that runs from your terminal. Instead of just suggesting snippets in a chat window, it reads your actual codebase, edits files, runs commands, and carries out multi-step engineering work on its own. You describe what you want built or fixed, and it works through the project directly, the way a developer would.

It's a paid tool, either bundled into a Claude subscription or billed by usage, and it's built for people who already write code. You don't need to write code yourself to benefit from what it builds, but running it directly assumes you're comfortable in a terminal or code editor.","Claude Code is the workhorse behind our builds, and all four operators use it daily. In Episode 002, Alec Saluga used it to build GotoBuild's working AI workout-plan generator live, and BrandSauce.io's entire backend runs on it. Justin Novak uses it as the contrast case against an always-on OpenClaw agent in Episode 003, as his daily driver for hands-on building inside VS Code in Episode 004, and again in Episode 005 to build the Milk and Cookies marketplace flow from a spoken, plain-English prompt.

We keep it in the stack because it closes the gap between an idea and a working build. It doesn't just write code, it runs commands and ships changes, so a founder who can describe a feature in plain English can watch it get built in real time. You don't need to write code yourself to benefit from Claude Code. You need someone, or some AI, driving it who can describe what you want clearly.","Claude Code lives in a terminal or a code editor, which makes it look like a developer tool, because it is one. But on the show, it's proven itself as something you can direct successfully even without writing code yourself: describe what you want in plain English, and it handles writing, running, and fixing the code. You still need someone comfortable opening a terminal or VS Code and giving clear instructions, whether that's you, an operator on your team, or the AI running it for you.",Paid; included with Claude paid plans / usage-based.,false,,,,,,,,codex,2026-07-13
codex,Codex,AI coding agents,https://chatgpt.com/codex,OpenAI's coding agent for building and shipping apps.,"Codex is OpenAI's coding agent, available through ChatGPT, that writes, edits, and ships code from plain-language instructions. You describe what you want built or fixed, and Codex works in a sandboxed environment to generate the code, run it, and report back.

It handles full projects, not just snippets, so it can scaffold a website, wire up a form, or fix a bug across multiple files. Pricing runs roughly $20 a month, with no free tier.","Codex is Justin's pick. On the Episode 001 live he said the entire AI4NTP site, the ads, and the interactive widget were built with Codex. Alec has used it too: in Episode 004 he had Codex pull from the SpyFu API to build a prospect list in about 10 minutes, and in Episode 005 he tested it as one coding-agent path before choosing Lovable for that build.

We keep Codex in the stack because it handles real, multi-file projects inside a tool most operators already have open (ChatGPT), not some separate technical setup. You do not need to know how to code to direct it: you describe the outcome, Codex writes and runs the code, and you review what comes back. Weigh it against Claude Code if you want a second opinion, but for about $20 a month, a tool that shipped an entire live site has earned its spot here.","Codex is built for writing and shipping code, which means what it produces under the hood is technical, and getting a project fully live still involves things like hosting and deployment. You do not have to write that code yourself, though. You describe what you want in plain language, and Codex handles the execution. If you are comfortable directing an assistant and reviewing what it builds, Codex is workable without a programming background. That is how Justin used it to build the AI4NTP site, ads, and widget.",Paid; ~$20/mo (stated on the live).,false,,,,,,,,claude-code,2026-07-13
lovable,Lovable,App & site builders,https://lovable.dev,Vibe-coding website builder that turns prompts into live sites.,"Lovable is a vibe-coding platform: you describe what you want in plain English, and it generates a working website, app, or product from that prompt. Instead of writing code, you describe layouts, features, and copy in a chat interface and watch the site update live.

It handles both the front end (the pages people see) and, through its Lovable Cloud feature, backend basics like storage and login, powered by Supabase under the hood. That means you can go from an idea to a live, working site without hiring a developer or touching a code editor.","Alec Saluga treats Lovable as his default builder whenever a project needs a live site fast. In Episode 001, he used it for landing pages and prototypes while exploring how marketers actually use AI to grow. In Episode 002, building the AI workout planner GotoBuild in under an hour, he used it to build and compare the GotoBuild marketing site. In Episode 005, building three real companies in one hour, including the bakery Milk and Cookies, he used it for the Crumb B2B landing page, the cookie-drop order flow, and a publishable app prototype.

We keep Lovable in the stack because it's the lowest-friction place to start if you've never built anything before, and it still turns out a clean site or landing page fast. The newer Lovable Cloud layer adds Supabase-backed storage and login under the hood, which matters once a prototype needs real users or real data. The takeaway: if you have an idea and a deadline, describe it to Lovable before you go looking for a developer.","Lovable is built for people who have never written code and don't plan to start, more so than most tools in this directory. You describe what you want in everyday language, and it builds and hosts the working site for you, so the main skill you need is explaining clearly what you want. If you're choosing your first AI tool to build with, this is one of the easiest on-ramps in the directory.",Free tier available; paid plans for more usage.,true,,,,,,,,manus,2026-07-01
manus,Manus,App & site builders,https://manus.im,"No-code AI agent platform for building real, functional apps.","Manus is a no-code AI agent platform built to execute tasks, not just answer questions. Instead of returning text, it acts: writing code, building functional apps, automating multi-step workflows, and completing jobs end to end so you don't have to do them by hand.

You describe what you want in plain language, and Manus works through the steps to build it. It runs on credit-based plans with a free tier to start, so you can test what it can do before committing to a paid plan.","Ian Kilpatrick uses Manus as his go-to when a project needs to actually function, not just look finished. In Episode 001, on how marketers are actually using AI to grow, he recommends it specifically for building functional apps without writing code, the moments when a static page or a chatbot reply isn't enough and you need something that runs.

We keep it in the stack because most operators hit that exact wall: ""make me a page"" turns into ""make me a tool that does something."" Manus is built for that shift. It won't replace a website builder for polishing a landing page, that's a job for something like Lovable, but when you need a working app, an automated workflow, or a small piece of software and you don't have a developer on call, it gets you there without touching code. The takeaway: if your idea only works as something live and functioning, not a static screen, this is the tool to reach for first.","Manus is more approachable than a raw coding tool since you describe what you want in plain language, but it's still an agent that writes and runs real code behind the scenes, so expect a learning curve beyond basic chat tools. It suits operators comfortable experimenting, testing, and iterating on prompts rather than expecting instant, polished results the first time. If you want function over a pretty page and don't want to hire a developer, this is where you start.",Credit-based plans; see site.,true,,,,,,,,lovable,2026-06-05
supabase,Supabase,App & site builders,https://supabase.com,"Open-source backend-as-a-service: database, auth, and APIs.","Supabase is an open-source backend-as-a-service built on top of Postgres, one of the most widely used databases in the world. Instead of hiring engineers to build a database, login system, and APIs from scratch, developers get all of it out of the box: a full Postgres database, user authentication, auto-generated APIs, real-time data sync, serverless functions, file storage, and support for AI vector embeddings.

It's commonly described as an open-source alternative to Firebase, aimed at teams who want more control over their data while still moving fast. Supabase offers a free tier to start, with paid plans that scale based on usage.","Ian Kilpatrick used Supabase as the backend behind a live app on Episode 001, and it now also runs quietly behind the scenes on AI4NTP's own session pages, powering the live audience pulse feature. Ian has said flatly that it's a tool he underestimated at first and now uses religiously.

That's the practical case for keeping Supabase in the stack: once a project needs real user accounts, saved data, or live updates instead of static pages, it needs a backend, and Supabase gets you one without months of setup. You likely won't log into it yourself, but the AI tools and developers you work with will. Knowing it exists helps you ask for the right thing: asking someone to wire a project to a database is now a reasonable request, not a moonshot.","Supabase is a developer tool. Setting it up means writing code, designing database tables, and configuring authentication rules, so if you're not building software yourself, you won't be the one logging into it. It's still worth knowing what it does: when an AI tool or a developer you hire says a project needs ""a backend"" or ""a database,"" Supabase is very often what they mean, and it's the difference between an app that scales and one that breaks under real use.",Generous free tier; usage-based paid plans.,true,,,,,,,,,2026-06-05
openclaw,OpenClaw,AI agents & automation,https://openclaw.ai,Self-hosted AI agent you run like a digital employee.,"OpenClaw is a self-hosted AI agent you run on your own server rather than a hosted app you log into. It is free and open source under the MIT license, so the only real costs are the server it runs on and whichever AI model you connect to it.

Once it is set up, you can wire it into a channel like Telegram, so you message it directly and it works through tasks on its own, more like an employee than a piece of software you open.","Ian runs roughly a dozen OpenClaw agents from Telegram. In Episode 003, he set one up live on camera, starting from a blank server: hardened it, installed a model, and connected it to Telegram in under an hour. Pointed at the Episode 002 brief, an OpenClaw agent had already produced GotoBuild's full hosted brand kit. In Episode 005, he ran multiple OpenClaw agents in parallel to build Sunday Crumb, handling the branding, site copy, order flow, and admin view all at once.

We keep OpenClaw in the stack because it proves an agent can act like staff, not just answer a question once and stop working. The practical takeaway here isn't to go harden a server yourself. It's that a working AI employee is one blank server and about an hour away, and once it's running, you manage it the same way you'd message anyone else on your team.","OpenClaw itself is a technical tool: setting it up means provisioning a server, hardening it, and connecting a model and a channel like Telegram. That's real infrastructure work, not a beginner-friendly signup flow. It's worth knowing about anyway, because it's what proves an AI agent can run like an actual employee instead of a chat window. Most operators will have someone else (or, increasingly, another AI) do the setup, then talk to the finished agent like a coworker.",Free and open source (MIT license). You pay only for your server and your model.,true,,,,,,,,hermes,2026-07-13
zapier,Zapier,AI agents & automation,https://zapier.com,Automation glue that connects your apps and AI into workflows.,"Zapier is an automation platform that connects the apps you already use, from Google Docs to Slack to Claude, so tasks move between them automatically instead of you copying and pasting by hand. You set up what Zapier calls a ""Zap"": a trigger in one app, like a new file landing in a folder, that fires an action in another, like sending that file to an AI tool.

Zapier connects more than 9,000 apps and is used by millions of businesses to build these workflows without writing code. Increasingly, it is also used to string AI models directly into the automation, so a workflow can pull in a large language model as one more step in the chain.","Alec Saluga runs this quietly in the background. In Episode 004, he set up Zapier to push his PLAUD Note recordings into Google Drive automatically. From there, in Episode 001, those transcripts flow into Google Docs and then into Claude, which turns them into proposals and follow-ups. Zapier is the connective tissue in that chain. It does not write the copy or record the meeting, it just makes sure nothing has to be moved by hand between the tools that do.

That is exactly why it stays in the stack. Zapier is boring by design, and that is the point: it is the layer that keeps a workflow from breaking when one tool hands off to the next. The takeaway is not to master every Zapier feature. Pick the one repetitive handoff you do most, exporting a file, forwarding a transcript, logging a lead, and let a single Zap do it automatically. One reliable connection beats a dozen manual steps.","Zapier is built for people who do not write code, and that is the honest pitch: you connect apps through dropdown menus and simple if-this-then-that logic, not scripts. The learning curve is real but small. Your first automation might take an afternoon of trial and error to get the trigger and action talking to each other correctly. Once one Zap works, though, copying the pattern to your next workflow is fast. If you can follow a recipe, you can build a Zap.",Free tier available; paid plans by task volume.,true,,,,,,,,,2026-06-19
pulsar,Pulsar,AI agents & automation,,Multi-tenant content engine that turns a brand kit into a marketing motion.,"Pulsar is a multi-tenant content engine that turns a brand kit into a marketing motion. You give it a brand's voice, tone, and key messaging, and it drafts a newsletter, then waterfalls that same content into blog posts and social copy, all matched to the brand's voice.

Pulsar was built to run more than one brand at a time, so a single system can manage content pipelines for several accounts instead of just one. It's a private, custom-built tool, not a public product with its own signup or pricing page.","Justin built Pulsar himself using Claude Code, and it's the engine behind AI4NTP's own go-to-market work. In Episode 002, the crew built a company with AI in under an hour (the voted brief was GotoBuild, an AI workout planner), and Justin ran GotoBuild's entire go-to-market through Pulsar. The newsletter, the blog post, and the social content all came out of the same brand kit and voice setup, without rewriting the message channel by channel.

We keep Pulsar in the stack because it proves a point we make constantly: one clear brand kit, fed into the right system, can drive a newsletter, a blog, and social copy without starting from scratch on each one. You don't need Pulsar itself to get that benefit. The real takeaway is the workflow behind it: define your voice once, then let one system (or one disciplined process) push it out everywhere, instead of rewriting your message for every channel you touch.","Pulsar isn't something you can sign up for. It's Justin's own internal build, not a public product, so there's no plan to buy or account to create; if you want access, or want something similar built for your brand, email Justin directly. The workflow it automates, turning one brand kit into a newsletter, blog, and social content, is worth understanding even if you never touch Pulsar itself, since it's a pattern you can apply with off-the-shelf tools or a comparable custom build.",Private; not publicly available.,,,,,,true,,,,2026-06-05
chatgpt,ChatGPT,AI assistants & research,https://chatgpt.com,"OpenAI's general-purpose AI assistant for writing, images, and code.","ChatGPT is OpenAI's general-purpose AI assistant for writing, research, images, and code. You describe what you need in plain language, in a back-and-forth chat, and it responds with drafts, answers, generated images, or working code. It runs in a browser, desktop app, or mobile app, with no setup beyond creating an account.

There's a free tier, plus a paid Plus plan for higher usage limits and access to newer models. Under the hood it's powered by OpenAI's GPT models, the same family of AI that underlies many other products.","We keep reaching for ChatGPT because it covers a lot of ground. In Episode 002, Ian Kilpatrick generated the first logo for GotoBuild, the AI workout planner, from a Midjourney reference image. Justin Novak flipped that workflow in Episode 004, having ChatGPT write a Midjourney prompt from an uploaded photo. In Episode 003, ChatGPT 5.5 (GPT-5) was the model brain running Ian's live OpenClaw agent, included with his subscription. And in Episode 005, Ian and Alec used it to ideate the bakery concepts Sunday Crumb and Crumb B2B, and to compare image outputs against Higgsfield.

We keep it in the stack because it shows up in almost every build, whether that's a quick image reference, an agent's model brain, or a thinking partner for naming a new company. If you're new to AI, ChatGPT is the reasonable default: general enough for writing, images, or code, and the fastest way to see what a model can do for your work.","ChatGPT is one of the more approachable AI tools out there. You don't install anything or write code: you sign up, open a chat window, and type what you want in plain English, the same way you'd text a very capable assistant. If you've never used AI before, this is a reasonable place to start, since it can draft writing, answer questions, generate images, and even explain code back to you in plain language, all from one app.",Free tier; Plus ~$20/mo (stated on the live).,true,,,,,,,,"perplexity, claude, kimi",2026-07-13
perplexity,Perplexity,AI assistants & research,https://www.perplexity.ai,AI answer engine for research and step-by-step walkthroughs.,"Perplexity is an AI answer engine built for research. Instead of handing you a list of links like a traditional search engine, it searches the web in real time and writes a direct, cited answer you can check against the sources. You can keep asking follow-up questions in the same thread, and it pulls fresh information each time rather than relying only on what it already knows.

It's also strong at step-by-step instructions, laying out a process in order instead of burying it in a paragraph. Perplexity has a free tier, plus a paid Pro plan for more advanced models.","In Episode 002, where Ian Kilpatrick built GotoBuild, an AI workout planner, in under an hour, Perplexity was the tool he named at the close as his go-to for research and for getting clear, step-by-step instructions. When you're moving that fast on a build, you don't have time to sift through ten search results and piece together your own answer; you need one clean explanation with the reasoning already worked out.

That's why it stays in the stack: when a build hits a decision point, like which approach to take or how something actually works, Perplexity gives you one direct, sourced answer instead of a dozen browser tabs to reconcile. The practical takeaway is to make it your first stop any time you need to research something quickly or want a process explained in plain, ordered steps, before you go digging anywhere else.","Perplexity is one of the easier AI tools to pick up if you've ever used a search engine. You type a question in plain English, get a direct answer with sources listed below it, and ask follow-ups the same way you would in a chat. There's no setup and no prompt-writing skill required, and the free tier covers most everyday research. If you already Google things, you already know how to use this.",Free tier; Pro plan for advanced models.,true,,,,,,,,chatgpt,2026-07-13
